Provider	CompanyName	OrganizationNumber	SupportedMessageTypes
Websystemer AS	Valle Eiendomsmegling AS	919865075	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Boa Eiendomsmegling Oslo Vest AS 	913439880	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Tjuvholmen Eiendomsmegling AS	921176333	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Aktiv Eiendomsmegling Jæren AS	834001942	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Privatmegleren Vikebø & Jørgensen AS	992979062	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Heimdal Eiendomsmegling AS	976232909	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	PM Elite Eiendomsmegling AS	921267711	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Bakke Sørvik & Partners AS	916959478	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Advokatfirmaet Herstad AS	917472270	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Viken Eiendomsmegling As	987548177	SignedMortgageDeed,SignedMortgageDeedProcessed
Websystemer AS	Aursnes & Partners Eiendomsmegling AS	916746210	SignedMortgageDeed,SignedMortgageDeedProcessed
